outer_width,inner_width,outer_height,inner_height,mass,deflection,rotation,Iy,Ix,A,m,j,sigma_y,norm_mass,norm_deflection,norm_rotation,composite_score
0.03,0.02699999999999999,0.09,0.054999999999999966,9.349425000000009,0.004871501845018448,0.5291550314373314,1.1228625000000013e-07,1.4481562500000007e-06,0.0012150000000000012,9.349425000000009,1.709057764248956e-07,22670701.107011057,0.7995169082125445,0.9151846057176065,0.6631777557041941,4.892097691777042
0.03,0.02699999999999999,0.09,0.05599999999999996,9.14166000000001,0.004942464461587932,0.5259137333532683,1.1064600000000013e-07,1.4273640000000008e-06,0.0011880000000000013,9.14166000000001,1.7195909853943568e-07,23000942.646725,0.7342995169081965,0.963083490335992,0.6588034697137786,4.787869001110352
0.03,0.027999999999999983,0.09,0.05099999999999997,9.788040000000011,0.004662778874123336,0.7787366311539372,1.0920400000000018e-07,1.5129810000000005e-06,0.0012720000000000014,9.788040000000011,1.1613124113980488e-07,21699358.74938283,0.9371980676328366,0.7742991933213149,1.0,5.36019258954114
0.03,0.027999999999999983,0.09,0.05199999999999997,9.572580000000011,0.00472070838242353,0.7735574966715985,1.0737466666666685e-07,1.4944146666666671e-06,0.0012440000000000014,9.572580000000011,1.1690876487663357e-07,21968947.596874043,0.8695652173912899,0.8134008917677622,0.9930105115848608,5.228507947294255
0.03,0.027999999999999983,0.09,0.052999999999999964,9.357120000000013,0.004782454478007555,0.7684688117132336,1.0554533333333352e-07,1.4751203333333342e-06,0.0012160000000000016,9.357120000000013,1.1768291714444316e-07,22256297.84779139,0.8019323671497438,0.8550787392174695,0.9861430891060524,5.102097668990223
0.03,0.027999999999999983,0.09,0.053999999999999965,9.141660000000012,0.004848308306427669,0.7634701476447608,1.037160000000002e-07,1.4550840000000007e-06,0.0011880000000000016,9.141660000000012,1.1845342188679323e-07,22562764.417724326,0.7342995169081971,0.8995292553013207,0.9793971541014865,4.981354215428719
0.03,0.027999999999999983,0.09,0.054999999999999966,8.926200000000012,0.004918592227580395,0.7585612538651101,1.0188666666666687e-07,1.4342916666666675e-06,0.0011600000000000015,8.926200000000012,1.192199720670399e-07,22889847.48569269,0.6666666666666503,0.9469700289448034,0.9727723683730951,4.866712426262653
0.03,0.027999999999999983,0.09,0.05599999999999996,8.710740000000014,0.00499366416290405,0.7537420759496846,1.0005733333333355e-07,1.4127293333333344e-06,0.0011320000000000017,8.710740000000014,1.199822251968512e-07,23239212.724872027,0.5990338164251041,0.9976426526723364,0.966268658472295,4.7586554130922805
0.04,0.03199999999999998,0.09,0.07199999999999994,9.972720000000026,0.004917288302657323,0.12895743299824927,2.8339200000000053e-07,1.4346720000000028e-06,0.0012960000000000033,9.972720000000026,7.012829690721662e-07,22883779.358626872,0.9951690821255954,0.9460898958203422,0.123092054590408,5.000779092607879
0.04,0.03299999999999998,0.09,0.06999999999999995,9.926550000000022,0.0047450451277955205,0.14057461141912733,2.7036750000000057e-07,1.4867500000000023e-06,0.001290000000000003,9.926550000000022,6.433284828887104e-07,22082204.472843416,0.9806763285024057,0.8298278925593494,0.13876998963268672,4.7404547602586025
0.04,0.03299999999999998,0.09,0.07099999999999995,9.672615000000022,0.004879627502538044,0.14058816467383525,2.6737275000000054e-07,1.4457447500000022e-06,0.001257000000000003,9.672615000000022,6.432664634803933e-07,22708515.80128508,0.9009661835748686,0.9206693235985849,0.13878828039479987,4.6830254783165755
0.04,0.03399999999999998,0.09,0.06799999999999995,9.911160000000022,0.004583622287879477,0.15716801965642793,2.5727733333333393e-07,1.5391093333333357e-06,0.0012880000000000027,9.911160000000022,5.754074632653074e-07,21330984.608414184,0.9758454106280096,0.7208694809661149,0.16116358358893315,4.530438777405192
